ID,Sex,Twin,BirthYear,Year,Age,OffspringBorn,Lifespan,MotherID,FatherID,MumAge,DadAge,MumAgeClass,DadAgeClass,MumLifespan,DadLifespan
62,Female,1,1990,1998,8,1,10,60,31,3,2,AdultMum,AdultDad,10,7
62,Female,1,1990,1999,9,2,10,60,31,3,2,AdultMum,AdultDad,10,7
62,Female,1,1990,2000,10,0,10,60,31,3,2,AdultMum,AdultDad,10,7
63,Male,1,1990,1990,0,0,1,34,30,6,2,AdultMum,AdultDad,12,7
63,Male,1,1990,1991,1,0,1,34,30,6,2,AdultMum,AdultDad,12,7
64,Female,0,1990,1990,0,1,1,90,33,0,2,LambMum,AdultDad,5,4
64,Female,0,1990,1991,1,0,1,90,33,0,2,LambMum,AdultDad,5,4
65,Female,0,1990,1990,0,1,1,92,41,0,0,LambMum,LambDad,9,8
65,Female,0,1990,1991,1,0,1,92,41,0,0,LambMum,LambDad,9,8
66,Male,0,1990,1990,0,NA,1,79,40,1,1,AdultMum,AdultDad,10,3
66,Male,0,1990,1991,1,NA,1,79,40,1,1,AdultMum,AdultDad,10,3
67,Female,0,1990,1990,0,1,8,45,33,5,2,AdultMum,AdultDad,11,4
67,Female,0,1990,1991,1,1,8,45,33,5,2,AdultMum,AdultDad,11,4
67,Female,0,1990,1992,2,1,8,45,33,5,2,AdultMum,AdultDad,11,4
67,Female,0,1990,1993,3,1,8,45,33,5,2,AdultMum,AdultDad,11,4
67,Female,0,1990,1994,4,1,8,45,33,5,2,AdultMum,AdultDad,11,4
67,Female,0,1990,1995,5,0,8,45,33,5,2,AdultMum,AdultDad,11,4
67,Female,0,1990,1996,6,1,8,45,33,5,2,AdultMum,AdultDad,11,4
67,Female,0,1990,1997,7,1,8,45,33,5,2,AdultMum,AdultDad,11,4
67,Female,0,1990,1998,8,0,8,45,33,5,2,AdultMum,AdultDad,11,4
68,Male,0,1990,1990,0,NA,1,33,36,6,2,AdultMum,AdultDad,8,7
68,Male,0,1990,1991,1,NA,1,33,36,6,2,AdultMum,AdultDad,8,7
69,Male,0,1990,1990,0,NA,3,12,13,8,4,AdultMum,AdultDad,7,9
69,Male,0,1990,1991,1,0,3,12,13,8,4,AdultMum,AdultDad,7,9
69,Male,0,1990,1992,2,4,3,12,13,8,4,AdultMum,AdultDad,7,9
69,Male,0,1990,1993,3,4,3,12,13,8,4,AdultMum,AdultDad,7,9
70,Female,0,1990,1990,0,1,1,10,38,9,1,AdultMum,AdultDad,9,2
70,Female,0,1990,1991,1,0,1,10,38,9,1,AdultMum,AdultDad,9,2
71,Female,1,1990,1990,0,1,1,52,38,4,1,AdultMum,AdultDad,8,2
71,Female,1,1990,1991,1,0,1,52,38,4,1,AdultMum,AdultDad,8,2
72,Female,0,1990,1990,0,1,1,24,34,6,2,AdultMum,AdultDad,7,7
72,Female,0,1990,1991,1,0,1,24,34,6,2,AdultMum,AdultDad,7,7
73,Female,0,1990,1990,0,1,1,66,10,2,5,AdultMum,AdultDad,7,7
73,Female,0,1990,1991,1,0,1,66,10,2,5,AdultMum,AdultDad,7,7
74,Male,0,1990,1990,0,NA,3,87,26,0,2,LambMum,AdultDad,9,2
74,Male,0,1990,1991,1,1,3,87,26,0,2,LambMum,AdultDad,9,2
74,Male,0,1990,1992,2,0,3,87,26,0,2,LambMum,AdultDad,9,2
74,Male,0,1990,1993,3,NA,3,87,26,0,2,LambMum,AdultDad,9,2
75,Female,0,1990,1990,0,1,13,68,35,2,2,AdultMum,AdultDad,4,6
75,Female,0,1990,1991,1,2,13,68,35,2,2,AdultMum,AdultDad,4,6
